,stock_name,stock_code
441,KOBAY TECHNOLOGY BERHAD,6971.KL
442,KOMARKCORP BERHAD,7017.KL
443,K-ONE TECHNOLOGY BERHAD,0111.KL
444,KONSORTIUM TRANSNASIONAL BERHAD,4847.KL
445,KOSSAN RUBBER INDUSTRIES BERHAD,7153.KL
446,KOTRA INDUSTRIES BERHAD,0002.KL
447,KPJ HEALTHCARE BERHAD,5878.KL
448,KPOWER BERHAD,7130.KL
449,KPS CONSORTIUM BERHAD,9121.KL
450,KRETAM HOLDINGS BERHAD,1996.KL
451,KRONOLOGI ASIA BERHAD,0176.KL
452,KSL HOLDINGS BERHAD,5038.KL
453,KUALA LUMPUR KEPONG BERHAD,2445.KL
454,KUB MALAYSIA BERHAD,6874.KL
455,KUCHAI DEVELOPMENT BERHAD,2186.KL
456,KUMPULAN FIMA BERHAD,6491.KL
457,KUMPULAN H & L HIGH-TECH BERHAD,7033.KL
458,KUMPULAN JETSON BERHAD,9083.KL
459,KUMPULAN PERANGSANG SELANGOR BERHAD,5843.KL
460,KYM HOLDINGS BERHAD,8362.KL
461,LAGENDA PROPERTIES BERHAD,7179.KL
462,LAMBO GROUP BERHAD,0018.KL
463,LAND & GENERAL BERHAD,3174.KL
464,LANDMARKS BERHAD,1643.KL
465,LAY HONG BERHAD,9385.KL
466,LB ALUMINIUM BERHAD,9326.KL
467,LBI CAPITAL BERHAD,8494.KL
468,LBS BINA GROUP BERHAD,5789.KL
469,LEADER STEEL HOLDINGS BERHAD,9881.KL
470,LEBTECH BERHAD,9628.KL
471,LEE SWEE KIAT GROUP BERHAD,8079.KL
472,LEON FUAT BERHAD,5232.KL
473,LEONG HUP INTERNATIONAL BERHAD,6633.KL
474,LFE CORPORATION BERHAD,7170.KL
475,LGMS BERHAD,0249.KL
476,LIEN HOE CORPORATION BERHAD,3573.KL
477,LII HEN INDUSTRIES BHD.,7089.KL
478,LIM SEONG HAI CAPITAL BERHAD,03047.KL
479,LINGKARAN TRANS KOTA HOLDINGS BERHAD,6645.KL
480,LION INDUSTRIES CORPORATION BERHAD,4235.KL
481,LION POSIM BERHAD,8486.KL
482,LKL INTERNATIONAL BERHAD,0182.KL
483,LOTTE CHEMICAL TITAN HOLDING BERHAD,5284.KL
484,LOTUS KFM BERHAD,8303.KL
485,LPI CAPITAL BHD,8621.KL
486,LTKM BERHAD,7085.KL
487,LUSTER INDUSTRIES BHD.,5068.KL
488,LUXCHEM CORPORATION BERHAD,5143.KL
489,LYC HEALTHCARE BERHAD,0075.KL
490,LYSAGHT GALVANIZED STEEL BERHAD,9199.KL
