,div_stock_code,div_year,div_status,dividend_y_%,div_dividend(RM)
530,0166,2022,Y,3.331,0.1
531,0167,2018,N,0.0,0.0
532,0167,2019,N,0.0,0.0
533,0167,2020,N,0.0,0.0
534,0167,2021,N,0.0,0.0
535,0167,2022,N,0.0,0.0
536,0168,2018,Y,2.756,0.0175
537,0168,2019,Y,3.425,0.02
538,0168,2020,Y,2.981,0.0175
539,0168,2021,Y,1.659,0.0175
540,0168,2022,Y,2.349,0.0175
541,0169,2018,N,0.0,0.0
542,0169,2019,N,0.0,0.0
543,0169,2020,N,0.0,0.0
544,0169,2021,N,0.0,0.0
545,0169,2022,N,0.0,0.0
546,0170,2018,N,0.0,0.0
547,0170,2019,N,0.0,0.0
548,0170,2020,N,0.0,0.0
549,0170,2021,N,0.0,0.0
550,0170,2022,N,0.0,0.0
551,0171,2020,Y,4.484,0.01
552,0171,2022,Y,3.0,0.006
553,0172,2021,Y,1.25,0.005
554,0173,2018,N,0.0,0.0
555,0173,2019,N,0.0,0.0
556,0173,2020,N,0.0,0.0
557,0173,2021,N,0.0,0.0
558,0173,2022,N,0.0,0.0
559,0174,2018,N,0.0,0.0
560,0174,2019,N,0.0,0.0
561,0174,2020,N,0.0,0.0
562,0174,2021,N,0.0,0.0
563,0174,2022,N,0.0,0.0
564,0175,2018,N,0.0,0.0
565,0175,2019,N,0.0,0.0
566,0175,2020,N,0.0,0.0
567,0175,2021,N,0.0,0.0
568,0175,2022,N,0.0,0.0
569,0176,2018,Y,3.774,0.02
570,0177,2018,N,0.0,0.0
571,0177,2019,N,0.0,0.0
572,0177,2020,N,0.0,0.0
573,0177,2021,N,0.0,0.0
574,0177,2022,N,0.0,0.0
575,0178,2018,N,0.0,0.0
576,0178,2019,N,0.0,0.0
577,0178,2020,N,0.0,0.0
578,0178,2021,N,0.0,0.0
579,0178,2022,N,0.0,0.0
580,0179,2018,Y,0.415,0.0011
581,0180,2018,N,0.0,0.0
582,0180,2019,N,0.0,0.0
583,0180,2020,N,0.0,0.0
584,0180,2021,N,0.0,0.0
585,0180,2022,N,0.0,0.0
586,0181,2018,Y,0.727,0.002
587,0182,2018,N,0.0,0.0
588,0182,2019,N,0.0,0.0
589,0182,2020,N,0.0,0.0
590,0182,2021,N,0.0,0.0
591,0182,2022,N,0.0,0.0
592,0183,2018,Y,2.9939999999999998,0.024
593,0183,2019,Y,6.133,0.024
594,0183,2020,Y,3.092,0.018000000000000002
595,0185,2018,N,0.0,0.0
596,0185,2019,N,0.0,0.0
597,0185,2020,N,0.0,0.0
598,0185,2021,N,0.0,0.0
599,0185,2022,N,0.0,0.0
600,0186,2018,Y,1.4369999999999998,0.0095
601,0186,2019,Y,1.5859999999999999,0.01
602,0186,2020,Y,1.532,0.01
603,0186,2021,Y,5.145,0.0322
604,0186,2022,Y,2.997,0.0305
605,0187,2018,Y,1.143,0.002
606,0187,2019,Y,0.286,0.001
607,0188,2018,N,0.0,0.0
608,0188,2019,N,0.0,0.0
609,0188,2020,N,0.0,0.0
610,0188,2021,N,0.0,0.0
611,0188,2022,N,0.0,0.0
612,0189,2018,Y,3.077,0.002
613,0189,2019,Y,2.0,0.0015
614,0189,2020,Y,1.852,0.0015
615,0189,2021,Y,2.151,0.002
616,0189,2022,Y,2.316,0.0022
617,0190,2018,Y,8.072,0.018
618,0190,2020,Y,3.509,0.01
619,0190,2022,Y,3.556,0.008
620,0191,2018,Y,3.077,0.008
621,0192,2018,Y,2.953,0.0075
622,0192,2019,Y,5.071,0.01
623,0192,2020,Y,2.981,0.0085
